SiteID,Date,Time,Cloud Cover,Wind Speed,Wind Direction,Water Depth,Secchi Depth
OBY35,10/03/23,12:26,25,1,225,5.8,3.1
P5BSD,05/23/23,10:17,25,2,120,32.5,4.1
P5BSD,06/21/23,10:31,25,0,,31.6,3.4
P5BSD,07/19/23,9:54,25,0,,22.7,1.8
P5BSD,08/16/23,9:59,100,1,150,33,3.8
P5BSD,09/06/23,9:57,0,0,,27.5,3.8
P5BSD,10/04/23,9:55,25,1,120,26.6,3.4
P6FGG,05/23/23,13:44,0,5,180,14.1,2.8
P6FGG,06/21/23,12:54,0,3,180,11.6,2.8
P6FGG,07/19/23,12:45,50,1,180,14.0,1.7
P6FGG,08/16/23,12:30,100,3,180,13,2.2
P6FGG,09/06/23,12:36,0,0,,13.5,2.4
P6FGG,10/04/23,12:45,25,1,150,16.6,2.5
P7CBI,05/23/23,12:09,25,3,180,13.6,2.5
P7CBI,06/21/23,12:18,0,3,180,13.1,3.6
P7CBI,07/19/23,11:49,50,2,180,14.3,1.9
P7CBI,08/16/23,11:50,100,3,180,14.7,2.9
P7CBI,09/06/23,11:59,0,0,,12.4,3.3
P7CBI,10/04/23,12:04,0,1,210,13.3,3.1
P9LFP,05/23/23,10:47,0,3,150,8.8,2.1
P9LFP,06/21/23,11:08,0,1,180,8.9,1.9
P9LFP,07/19/23,10:35,25,0,,9.6,1.8
P9LFP,08/16/23,10:26,100,2,150,10.2,1.8
P9LFP,09/06/23,10:33,0,0,,8.5,1.5
P9LFP,10/04/23,10:52,0,2,220,8.8,2.5
PH1,05/23/23,13:58,0,5,180,14.9,2.1
PH1,06/21/23,13:09,0,3,180,14.0,2.7
PH1,07/19/23,12:55,25,0,,15.3,1.8
PH1,08/16/23,12:43,100,2,180,14.1,2
PH1,09/06/23,13:15,0,0,,14,2.2
PH1,10/04/23,12:56,0,1,150,14.1,2.9
PH2,05/23/23,14:12,25,5,180,14.2,2.1
PH2,06/21/23,13:21,0,3,180,14.1,3.0
PH2,07/19/23,13:12,50,0,,14.0,1.8
PH2,08/16/23,12:59,100,1,180,14.4,1.9
PH2,09/06/23,13:29,0,0,,12,2.4
PH2,10/04/23,13:09,0,1,150,14.1,3
PH3,05/23/23,14:27,25,3,180,14.9,2.0
PH3,06/21/23,13:34,0,1,210,14.5,3.2
PH3,07/19/23,13:26,50,1,180,15.1,1.7
PH3,08/16/23,13:17,100,1,180,14.8,1.6
PH3,09/06/23,13:41,0,0,,13.8,2.5
PH3,10/04/23,13:21,0,2,120,14.8,2.7
PKT42,05/24/23,11:32,50,1,180,,
PKT42,06/22/23,11:33,0,3,180,4.8,3.8
PKT42,07/18/23,11:37,100,2,180,5.2,2.2
PRV70,06/29/23,13:35,0,1,135,3.9,1
PRV70,07/18/23,8:53,25,0,,,
PYC43,05/23/23,11:59,25,3,180,3.7,2.7
PYC43,06/22/23,9:14,0,1,45,0.9,BSV
PYC43,07/18/23,9:18,25,0,,2.9,1.9
PYC43,08/16/23,11:37,100,1,180,7.3,2.7
PYC43,09/06/23,11:46,0,0,,5,3
PYC43,10/04/23,11:51,25,1,180,6.1,3.6
RRC46,05/23/23,11:19,0,3,180,3.7,1.0
RRC46,06/21/23,11:43,0,1,180,3.7,1.6
RRC46,07/19/23,11:18,50,0,,4.4,1.4
RRC46,08/16/23,11:09,100,1,180,5,1.8
RRC46,09/06/23,11:14,0,0,,2.7,1
RRC46,10/04/23,11:22,25,2,180,3.6,1.9
RRY47,05/24/23,8:58,0,2,120,,
RRY47,06/22/23,9:35,0,0,,2.0,0.7
RRY47,07/18/23,9:42,50,1,90,3.3,0.6
RRY47,08/17/23,9:03,100,0,,2.9,0.9
RRY47,09/07/23,12:45,0,0,,2.6,1
RRY47,10/03/23,14:30,0,1,150,4.7,1.1
RRY47,10/03/23,14:28,0,1,150,4.7,1.1
SMT50,05/23/23,9:35,0,1,135,1.7,bsv
SMT50,06/21/23,9:47,0,0,,2.0,BSV
SMT50,07/19/23,9:11,25,0,,2.1,1.6
SMT50,08/16/23,9:20,100,0,,2.6,2.1
SMT50,09/06/23,9:18,0,0,,1.9,BSV
SMT50,10/04/23,9:19,0,1,90,1.3,BSV
STR54,05/24/23,8:18,0,1,120,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
